степен,застроена_площ_m2,в_кадастъра,кадастрален_номер,имот,разрешение_за_строеж,брой_разрешения,последно_разрешение,акт16,УПИ,квартал_по_регулация,етажи_по_кадастър,жилища_по_кадастър,код_зона,устройствен_режим,район,квартал,източник,lon,lat
висока,4434.0,не,,44063.6213.4441,,,,,,,,,Ссб,земеделска зона без право на застрояване,Панчарево,"с. Лозен, м. Орлова круша",картирана в OSM,23.454832,42.611177
висока,4097.0,не,,68134.2816.2370,,,,,,,,,Тзв,"терени за зелени връзки и озеленяване на улици, реки и дерета и открити канали",Връбница,ж.к. Обеля 2,картирана в OSM,23.27943,42.742099
висока,3590.0,не,,44063.6213.4441,,,,,,,,,Ссб,земеделска зона без право на застрояване,Панчарево,"с. Лозен, м. Орлова круша",картирана в OSM,23.453102,42.612086
висока,2781.0,не,,44063.6213.4441,,,,,,,,,Ссб,земеделска зона без право на застрояване,Панчарево,"с. Лозен, м. Орлова круша",картирана в OSM,23.453251,42.611773
висока,2557.0,не,,68134.109.14,,,,,,,,,Зп,зона на градски паркове и градини,Средец,Борисова градина - север,картирана в OSM,23.333264,42.686309
висока,1812.0,не,,44063.6213.4441,,,,,,,,,Ссб,земеделска зона без право на застрояване,Панчарево,"с. Лозен, м. Орлова круша",картирана в OSM,23.454513,42.611547
висока,1527.0,не,,68134.6722.260,,,,,,,,,Зп,зона на градски паркове и градини,Панчарево,Хидропарк Искър - част Герман,картирана в OSM,23.411019,42.616976
висока,1428.0,не,,22304.7939.20,,,,,,,,,Ссб,земеделска зона без право на застрояване,Кремиковци,"с. Д. Богров, м. Бресто",картирана в OSM,23.501911,42.7096
висока,1325.0,не,,11394.1824.76,,,,,,,,,Ссб,земеделска зона без право на застрояване,Витоша,"с. Владая, м. Краище",картирана в OSM,23.183087,42.626966
висока,1073.0,не,,68134.800.5353,,,,,,,,,Зп,зона на градски паркове и градини,Изгрев,м. Гара Пионер,картирана в OSM,23.342311,42.666827
висока,1003.0,не,,68134.1897.751,,,,,,,,,Зп,зона на градски паркове и градини,Витоша,в.з. Горна Баня - Домуз дере,само от сателит,23.232383,42.664757
висока,990.0,не,,68134.4360.90,,,,,,,,,Тго,терени на локални градини и озеленяване,Люлин,ж.к. Люлин - център,картирана в OSM,23.251986,42.716214
висока,965.0,не,,80409.5621.36,,,,,,,,,Зп,зона на градски паркове и градини,Нови Искър,Хидропарк Искър - част Враждебна - Кубратово,само от сателит,23.418761,42.725047
висока,949.0,не,,68134.6722.256,,,,,,,,,Зп,зона на градски паркове и градини,Панчарево,Хидропарк Искър - част Герман,картирана в OSM,23.411425,42.61701
висока,862.0,не,,68134.1100.953,,,,,,,,,Зп,зона на градски паркове и градини,Красна поляна,Западен парк - разш. Малка Коньовица 1,само от сателит,23.231661,42.703863
висока,830.0,не,,68134.4360.692,,,,,,,,,Тго,терени на локални градини и озеленяване,Люлин,ж.к. Люлин - център,картирана в OSM,23.25383,42.716151
висока,816.0,не,,68134.2095.406,,,,,,,,,Рпп,природни паркове,Витоша,Планина Витоша - р-н Витоша,картирана в OSM,23.247903,42.625177
висока,797.0,не,,68134.8494.774,,,,,,,,,Тзв,"терени за зелени връзки и озеленяване на улици, реки и дерета и открити канали",Кремиковци,зем. земи р-н Кремиковци,само от сателит,23.484845,42.729862
висока,787.0,не,,68134.525.1,,,,,,,,,Тзв,"терени за зелени връзки и озеленяване на улици, реки и дерета и открити канали",Сердика,Парк Бенковски - запад,картирана в OSM,23.333556,42.738185
висока,782.0,не,,68134.1004.154,,,,,,,,,Зп,зона на градски паркове и градини,Триадица,Южен парк,картирана в OSM,23.303287,42.663797
висока,768.0,не,,68134.109.33,,,,,,,,,Зп,зона на градски паркове и градини,Средец,Борисова градина - север,само от сателит,23.334315,42.683983
висока,730.0,не,,68134.2095.406,,,,,,,,,Рпп,природни паркове,Витоша,Планина Витоша - р-н Витоша,картирана в OSM,23.246762,42.626212
висока,725.0,не,,68134.2815.44,,,,,,,,,Зп,зона на градски паркове и градини,Връбница,Северен парк част 2,картирана в OSM,23.289476,42.743828
висока,716.0,не,,68134.1004.194,,,,,,,,,Зп,зона на градски паркове и градини,Триадица,Южен парк част 2,картирана в OSM,23.317961,42.6774
висока,687.0,не,,68134.8575.36,,,,,,,,,Зп,зона на градски паркове и градини,Кремиковци,Хидропарк Искър - част Летище север,само от сателит,23.418052,42.701317
висока,669.0,не,,44224.5768.62,,,,,,,,,Глп,лесопаркове,Нови Искър,Софийска планина (западна Стара планина) 2,картирана в OSM,23.460904,42.798125
висока,665.0,не,,04234.7007.271,,,,,,,,,Ссб,земеделска зона без право на застрояване,Панчарево,с. Бистрица - Кокаляне - поле,картирана в OSM,23.392454,42.565804
висока,645.0,не,,68134.8581.110,,,,,,,,,Зп,зона на градски паркове и градини,Кремиковци,Хидропарк Искър - част Летище север,само от сателит,23.418617,42.704661
висока,623.0,не,,68134.1002.183,,,,,,,,,Тго,терени на локални градини и озеленяване,Триадица,ж.к. Иван Вазов,картирана в OSM,23.308353,42.680796
висока,601.0,не,,35239.1440.65,,,,,,,,,Ссб,земеделска зона без право на застрояване,Искър,ПЗ Казичене - запад / кв. Видните,картирана в OSM,23.45195,42.669189
висока,577.0,не,,22472.7448.202,,,,,,,,,Тзв,"терени за зелени връзки и озеленяване на улици, реки и дерета и открити канали",Панчарево,Хидропарк Искър - Вододайна зона яз. Искър,картирана в OSM,23.615497,42.426567
висока,570.0,не,,68134.4362.1456,,,,,,,,,Тзв,"терени за зелени връзки и озеленяване на улици, реки и дерета и открити канали",Люлин,ж.к. Люлин - 6 мр,картирана в OSM,23.248022,42.708052
висока,568.0,не,,49206.2619.37,,,,,,,,,Тзв,"терени за зелени връзки и озеленяване на улици, реки и дерета и открити канали",Връбница,с. Мрамор и ПСЗ,само от сателит,23.277158,42.788491
висока,556.0,не,,68134.208.1387,,,,,,,,,Зп,зона на градски паркове и градини,Красно село,ж.к. Славия,само от сателит,23.274426,42.673631
висока,553.0,не,,68134.1500.442,,,,,,,,,Тзв,"терени за зелени връзки и озеленяване на улици, реки и дерета и открити канали",Искър,ж.к. Дружба 1 - изток,картирана в OSM,23.390798,42.662953
висока,536.0,не,,68134.1004.194,,,,,,,,,Зп,зона на градски паркове и градини,Триадица,Южен парк част 2,картирана в OSM,23.31796,42.677552
висока,530.0,не,,68134.702.1062,,,,,,,,,Зп,зона на градски паркове и градини,Слатина,Парк Гео Милев,картирана в OSM,23.359491,42.686781
висока,527.0,не,,80409.5379.8,,,,,,,,,Ссб,земеделска зона без право на застрояване,Нови Искър,Чепинско поле,само от сателит,23.44362,42.735395
висока,526.0,не,,49206.2660.1002,,,,,,,,,Зп,зона на градски паркове и градини,Връбница,с. Мрамор и ПСЗ,само от сателит,23.273352,42.780231
висока,522.0,не,,49597.1718.39,,,,,,,,,Ссб,земеделска зона без право на застрояване,Витоша,"с. Владая, м. Краище",само от сателит,23.173961,42.606913
висока,514.0,не,,68134.2093.70,,,,,,,,,Рпп,природни паркове,Витоша,Планина Витоша - р-н Витоша,картирана в OSM,23.211683,42.646873
висока,514.0,не,,68134.1970.144,,,,,,,,,Тзсп,терени за специални зелени площи,Витоша,Парк Ботаническа градина,картирана в OSM,23.296678,42.645325
висока,508.0,не,,68134.4089.706,,,,,,,,,Тго,терени на локални градини и озеленяване,Младост,ж.к. Младост 4,картирана в OSM,23.37426,42.630264
висока,504.0,не,,68134.8575.36,,,,,,,,,Зп,зона на градски паркове и градини,Кремиковци,Хидропарк Искър - част Летище север,само от сателит,23.417853,42.700719
висока,494.0,не,,68134.8569.233,,,,,,,,,Ссб,земеделска зона без право на застрояване,Кремиковци,зем. земи кв. Бусманци - Враждебна,картирана в OSM,23.443607,42.69869
висока,491.0,не,,68134.8564.113,,,,,,,,,Ссб,земеделска зона без право на застрояване,Кремиковци,зем. земи кв. Бусманци - Враждебна,само от сателит,23.448024,42.69096
висока,489.0,не,,04234.6074.890,,,,,,,,,Рпп,природни паркове,Панчарево,Планина Витоша - р-н Панчарево,картирана в OSM,23.294959,42.576874
висока,487.0,не,,68134.8631.111,,,,,,,,,Зп,зона на градски паркове и градини,Кремиковци,Хидропарк Искър - част Враждебна - Кубратово,само от сателит,23.412294,42.72305
висока,479.0,не,,32216.2299.324,,,,,,,,,Тзв,"терени за зелени връзки и озеленяване на улици, реки и дерета и открити канали",Банкя,с. и в.з. Иваняне,само от сателит,23.176235,42.700614
висока,468.0,не,,68134.800.2000,,,,,,,,,Зп,зона на градски паркове и градини,Изгрев,м. Гара Пионер,картирана в OSM,23.338837,42.667402
висока,465.0,не,,04234.6956.76,,,,,,,,,Ссб,земеделска зона без право на застрояване,Панчарево,"с. Бистрица, м. Чипровица",само от сателит,23.385345,42.590649
висока,464.0,не,,68134.2095.1867,,,,,,,,,Рпп,природни паркове,Витоша,Планина Витоша - р-н Витоша,картирана в OSM,23.289516,42.564393
висока,463.0,не,,68134.8568.2,,,,,,,,,Ссб,земеделска зона без право на застрояване,Кремиковци,зем. земи кв. Бусманци - Враждебна,само от сателит,23.450846,42.695474
висока,461.0,не,,68134.1004.194,,,,,,,,,Зп,зона на градски паркове и градини,Триадица,Южен парк част 2,картирана в OSM,23.318091,42.677312
висока,447.0,не,,68134.8575.36,,,,,,,,,Зп,зона на градски паркове и градини,Кремиковци,Хидропарк Искър - част Летище север,само от сателит,23.415642,42.70225
висока,447.0,не,,44224.5785.84,,,,,,,,,Зп,зона на градски паркове и градини,Нови Искър,Рудник Кремиковци 2,картирана в OSM,23.453067,42.792396
висока,440.0,не,,68134.8581.115,,,,,,,,,Зп,зона на градски паркове и градини,Кремиковци,Хидропарк Искър - част Летище север,само от сателит,23.417818,42.704701
висока,427.0,не,,68134.2815.2960,,,,,,,,,Зп,зона на градски паркове и градини,Връбница,Северен парк част 2,само от сателит,23.284295,42.74464
висока,418.0,не,,44063.6204.525,,,,,,,,,Ссб,земеделска зона без право на застрояване,Панчарево,Софийско поле Казичене - юг,само от сателит,23.515998,42.637062
висока,406.0,не,,80409.5899.996,,,,,,,,,Ссб,земеделска зона без право на застрояване,Нови Искър,Чепинско поле,само от сателит,23.411087,42.74375
висока,402.0,не,,51250.5636.261,,,,,,,,,Ссб,земеделска зона без право на застрояване,Нови Искър,с. Чепинци - разширение,картирана в OSM,23.418675,42.777567
висока,402.0,не,,11884.5604.67,,,,,,,,,Ссб,земеделска зона без право на застрояване,Нови Искър,с. Войнеговци - разширение,картирана в OSM,23.410438,42.79077
висока,400.0,не,,68134.8384.28,,,,,,,,,Ссб,земеделска зона без право на застрояване,Кремиковци,зем. земи р-н Кремиковци,картирана в OSM,23.514558,42.744342
висока,396.0,не,,68134.1893.824,,,,,,,,,Зп,зона на градски паркове и градини,Витоша,Княжевска гора,картирана в OSM,23.245561,42.654933
висока,395.0,не,,39791.6021.62,,,,,,,,,Ссб,земеделска зона без право на застрояване,Панчарево,м. Мутийска воденица,само от сателит,23.469793,42.684407
висока,393.0,не,,68134.1970.4227,,,,,,,,,Тзв,"терени за зелени връзки и озеленяване на улици, реки и дерета и открити канали",Витоша,"Драгалевци, в.с. Мирамонте",картирана в OSM,23.30722,42.64344
висока,383.0,не,,68134.800.2000,,,,,,,,,Зп,зона на градски паркове и градини,Изгрев,м. Гара Пионер,картирана в OSM,23.337816,42.667479
висока,380.0,не,,68134.1111.1250,,,,,,,,,Зп,зона на градски паркове и градини,Красна поляна,Западен парк - разш. Малка Коньовица 1,само от сателит,23.248107,42.695969
висока,379.0,не,,68134.1602.246,,,,,,,,,Зп,зона на градски паркове и градини,Студентски,Парк Въртопо - север,картирана в OSM,23.366055,42.654304
висока,378.0,не,,16448.7852.9,,,,,,,,,Тзв,"терени за зелени връзки и озеленяване на улици, реки и дерета и открити канали",Кремиковци,м. Хан Богров - ПЗ,картирана в OSM,23.529364,42.701614
висока,373.0,не,,68134.4362.58,,,,,,,,,Зп,зона на градски паркове и градини,Люлин,Западен парк - разш. Малка Коньовица 1,картирана в OSM,23.24603,42.707543
висока,373.0,не,,68134.2095.406,,,,,,,,,Рпп,природни паркове,Витоша,Планина Витоша - р-н Витоша,картирана в OSM,23.248167,42.626149
висока,371.0,не,,68134.1972.2323,,,,,,,,,Тзв,"терени за зелени връзки и озеленяване на улици, реки и дерета и открити канали",Витоша,м. Драгалевци - разширение - север,картирана в OSM,23.332431,42.630887
висока,371.0,не,,80409.5379.36,,,,,,,,,Ссб,земеделска зона без право на застрояване,Нови Искър,Чепинско поле,само от сателит,23.442864,42.734083
висока,366.0,не,,44063.6218.250,,,,,,,,,Ссб,земеделска зона без право на застрояване,Панчарево,"с. Д. Лозен, м. Янино раске",картирана в OSM,23.527231,42.605586
висока,362.0,не,,68134.4360.692,,,,,,,,,Тго,терени на локални градини и озеленяване,Люлин,ж.к. Люлин - център,картирана в OSM,23.253384,42.716212
висока,360.0,не,,68134.8494.774,,,,,,,,,Тзв,"терени за зелени връзки и озеленяване на улици, реки и дерета и открити канали",Кремиковци,зем. земи р-н Кремиковци,само от сателит,23.485036,42.730252
висока,357.0,не,,68134.8575.36,,,,,,,,,Зп,зона на градски паркове и градини,Кремиковци,Хидропарк Искър - част Летище север,картирана в OSM,23.415214,42.701799
висока,354.0,не,,49206.2600.410,,,,,,,,,Ссб,земеделска зона без право на застрояване,Връбница,с. Мрамор - зем. земи,картирана в OSM,23.262943,42.800155
висока,353.0,не,,68134.8581.3,,,,,,,,,Зп,зона на градски паркове и градини,Кремиковци,Хидропарк Искър - част Летище север,картирана в OSM,23.419418,42.706782
висока,343.0,не,,68134.100.139,,,,,,,,,Тго,терени на локални градини и озеленяване,Средец,ЦГЧ Зони Г10 и част от А,картирана в OSM,23.329209,42.69413
висока,340.0,не,,68134.8575.35,,,,,,,,,Зп,зона на градски паркове и градини,Кремиковци,Хидропарк Искър - част Летище север,само от сателит,23.417289,42.7026
висока,338.0,не,,68134.201.303,,,,,,,,,Тзв,"терени за зелени връзки и озеленяване на улици, реки и дерета и открити канали",Красно село,ж.к. Лагера,картирана в OSM,23.281824,42.681457
висока,329.0,не,,68134.300.559,,,,,,,,,Тго,терени на локални градини и озеленяване,Възраждане,ЦГЧ Зона Б2-3+,картирана в OSM,23.32041,42.698732
висока,328.0,не,,68134.4332.1563,,,,,,,,,Тзв,"терени за зелени връзки и озеленяване на улици, реки и дерета и открити канали",Овча купел,кв. Горна Баня - ЖП гара,картирана в OSM,23.242036,42.67098
висока,323.0,не,,68134.503.1550,,,,,,,,,Тзв,"терени за зелени връзки и озеленяване на улици, реки и дерета и открити канали",Сердика,кв. Бенковски,само от сателит,23.34648,42.733497
висока,323.0,не,,22472.7421.1,,,,,,,,,Тзв,"терени за зелени връзки и озеленяване на улици, реки и дерета и открити канали",Панчарево,Хидропарк Искър - Вододайна зона яз. Искър,картирана в OSM,23.613694,42.438723
висока,322.0,не,,68134.2095.1876,,,,,,,,,Рпп,природни паркове,Витоша,Планина Витоша - р-н Витоша,картирана в OSM,23.239293,42.61304
висока,321.0,не,,68134.3985.3,,,,,,,,,Тзв,"терени за зелени връзки и озеленяване на улици, реки и дерета и открити канали",Овча купел,"кв. Суходол, м. Шаварна бара",само от сателит,23.189549,42.689376
висока,321.0,не,,68134.4082.422,,,,,,,,,Зп,зона на градски паркове и градини,Младост,Парк Въртопо - север,само от сателит,23.367225,42.650567
висока,319.0,не,,22472.7442.153,,,,,,,,,Ссб,земеделска зона без право на застрояване,Панчарево,Хидропарк Искър - Вододайна зона яз. Искър,само от сателит,23.560964,42.446551
висока,316.0,не,,68134.2097.460,,,,,,,,,Рпп,природни паркове,Витоша,Планина Витоша - р-н Витоша,само от сателит,23.303736,42.601837
висока,315.0,не,,68134.8575.36,,,,,,,,,Зп,зона на градски паркове и градини,Кремиковци,Хидропарк Искър - част Летище север,картирана в OSM,23.417128,42.701769
висока,313.0,не,,07140.8104.235,,,,,,,,,Ссб,земеделска зона без право на застрояване,Кремиковци,зем. земи р-н Кремиковци,картирана в OSM,23.551669,42.771993
висока,312.0,не,,68134.8384.28,,,,,,,,,Ссб,земеделска зона без право на застрояване,Кремиковци,зем. земи р-н Кремиковци,само от сателит,23.514371,42.744753
висока,311.0,не,,11394.1835.113,,,,,,,,,Ссб,земеделска зона без право на застрояване,Витоша,"с. Владая, м. Краище",картирана в OSM,23.177411,42.617671
висока,310.0,не,,68134.8342.76,,,,,,,,,Ссб,земеделска зона без право на застрояване,Кремиковци,Софийска планина (западна Стара планина) 2,картирана в OSM,23.582804,42.818208
висока,309.0,не,,04234.7014.66,,,,,,,,,Ссб,земеделска зона без право на застрояване,Панчарево,"с. Бистрица, м. Лагатар",картирана в OSM,23.357549,42.558933
висока,308.0,не,,68134.8581.110,,,,,,,,,Зп,зона на градски паркове и градини,Кремиковци,Хидропарк Искър - част Летище север,само от сателит,23.418556,42.704892
висока,308.0,не,,00357.5292.15,,,,,,,,,Ссб,земеделска зона без право на застрояване,Нови Искър,м. в.з. Радеви круши,само от сателит,23.383682,42.8225
висока,304.0,не,,04234.6074.265,,,,,,,,,Рпп,природни паркове,Панчарево,Планина Витоша - р-н Панчарево,картирана в OSM,23.294392,42.581175
висока,304.0,не,,68134.2095.803,,,,,,,,,Рпп,природни паркове,Витоша,Планина Витоша - р-н Витоша,картирана в OSM,23.262806,42.641772
висока,301.0,не,,68134.803.431,,,,,,,,,Зп,зона на градски паркове и градини,Изгрев,Борисова градина - Ловен парк,картирана в OSM,23.340188,42.662655
висока,301.0,не,,44063.6232.3672,,,,,,,,,Тзсп,терени за специални зелени площи,Панчарево,м. Долни Лозен - м. БЧК,картирана в OSM,23.515799,42.599063
висока,300.0,не,,32216.2325.19,,,,,,,,,Тзв,"терени за зелени връзки и озеленяване на улици, реки и дерета и открити канали",Банкя,"с. Иваняне, м. Попов дол",само от сателит,23.190168,42.721304
висока,300.0,не,,68134.8575.36,,,,,,,,,Зп,зона на градски паркове и градини,Кремиковци,Хидропарк Искър - част Летище север,само от сателит,23.417357,42.70101
висока,298.0,не,,68134.4084.7501,,,,,,,,,Зп,зона на градски паркове и градини,Младост,ж.к. Горубляне 2 и 3,картирана в OSM,23.400106,42.63619
висока,296.0,не,,04234.6903.93,,,,,,,,,Тзв,"терени за зелени връзки и озеленяване на улици, реки и дерета и открити канали",Панчарево,в.з. Косанин дол,картирана в OSM,23.38113,42.608936
висока,294.0,не,,68134.2095.501,,,,,,,,,Рпп,природни паркове,Витоша,Планина Витоша - р-н Витоша,картирана в OSM,23.239179,42.603156
висока,294.0,не,,68134.1970.144,,,,,,,,,Тзсп,терени за специални зелени площи,Витоша,Парк Ботаническа градина,картирана в OSM,23.300722,42.644865
висока,293.0,не,,44063.6232.3672,,,,,,,,,Тзсп,терени за специални зелени площи,Панчарево,м. Долни Лозен - м. БЧК,картирана в OSM,23.515792,42.598931
висока,292.0,не,,68134.1500.300,,,,,,,,,Тго,терени на локални градини и озеленяване,Искър,ж.к. Дружба 1 - запад,само от сателит,23.390864,42.669279
висока,289.0,не,,04234.6956.77,,,,,,,,,Ссб,земеделска зона без право на застрояване,Панчарево,"с. Бистрица, м. Чипровица",само от сателит,23.384991,42.590739
висока,287.0,не,,68134.2815.3028,,,,,,,,,Зп,зона на градски паркове и градини,Връбница,Северен парк част 2,картирана в OSM,23.288538,42.746393
висока,279.0,не,,49206.2633.800,,,,,,,,,Тго,терени на локални градини и озеленяване,Връбница,с. Мрамор и ПСЗ,само от сателит,23.273103,42.782363
висока,278.0,не,,68134.8581.15,,,,,,,,,Зп,зона на градски паркове и градини,Кремиковци,Хидропарк Искър - част Летище север,само от сателит,23.420247,42.705482
висока,276.0,не,,68134.8566.172,,,,,,,,,Ссб,земеделска зона без право на застрояване,Кремиковци,зем. земи кв. Бусманци - Враждебна,само от сателит,23.449957,42.695107
висока,272.0,не,,68134.4369.182,,,,,,,,,Ссб,земеделска зона без право на застрояване,Люлин,кв. Филиповци,само от сателит,23.233628,42.717662
висока,271.0,не,,44063.6232.52,,,,,,,,,Тзсп,терени за специални зелени площи,Панчарево,м. Долни Лозен - м. БЧК,картирана в OSM,23.515295,42.598391
висока,271.0,не,,39791.6004.508,,,,,,,,,Тго,терени на локални градини и озеленяване,Панчарево,с. Кривина,картирана в OSM,23.462466,42.672484
висока,271.0,не,,68134.6722.1203,,,,,,,,,Зп,зона на градски паркове и градини,Панчарево,Хидропарк Искър - част Герман,картирана в OSM,23.415142,42.620887
висока,269.0,не,,37914.6825.258,,,,,,,,,Ссб,земеделска зона без право на застрояване,Панчарево,Плана планина,само от сателит,23.396674,42.557403
висока,265.0,не,,68134.1508.1377,,,,,,,,,Зп,зона на градски паркове и градини,Искър,Хидропарк Искър - м. Къмпинг Врана,само от сателит,23.422008,42.650315
висока,265.0,не,,22304.7939.20,,,,,,,,,Ссб,земеделска зона без право на застрояване,Кремиковци,"с. Д. Богров, м. Бресто",картирана в OSM,23.500274,42.709722
висока,263.0,не,,68134.8592.174,,,,,,,,,Ссб,земеделска зона без право на застрояване,Кремиковци,зем. земи кв. Бусманци - Враждебна,само от сателит,23.449711,42.699973
висока,261.0,не,,68134.1104.112,,,,,,,,,Зп,зона на градски паркове и градини,Красна поляна,ж.к. Факултета,картирана в OSM,23.271612,42.698768
висока,261.0,не,,37914.6825.257,,0.0,,1.0,,,,,Ссб,земеделска зона без право на застрояване,Панчарево,Плана планина,само от сателит,23.396465,42.557874
висока,259.0,не,,68134.1113.282,,,,,,,,,Тзв,"терени за зелени връзки и озеленяване на улици, реки и дерета и открити канали",Красна поляна,Бивши казарми ГУСВ м. Смърдан,картирана в OSM,23.23051,42.691429
висока,258.0,не,,68134.4085.4215,,,,,,,,,Тзв,"терени за зелени връзки и озеленяване на улици, реки и дерета и открити канали",Младост,Хидропарк Искър - Горубляне,картирана в OSM,23.412596,42.623561
висока,255.0,не,,68134.1111.335,,,,,,,,,Зп,зона на градски паркове и градини,Красна поляна,ж.к. Факултета,само от сателит,23.258706,42.693498
висока,254.0,не,,68134.100.4,,,,,,,,,Тзв,"терени за зелени връзки и озеленяване на улици, реки и дерета и открити канали",Средец,ЦГЧ Зона А - юг,само от сателит,23.321735,42.696985
висока,253.0,не,,07106.1403.392,,,,,,,,,Зп,зона на градски паркове и градини,Искър,Хидропарк  Искър - част НПЗ Искър север,картирана в OSM,23.41733,42.670368
висока,253.0,не,,68134.8564.111,,,,,,,,,Ссб,земеделска зона без право на застрояване,Кремиковци,зем. земи кв. Бусманци - Враждебна,картирана в OSM,23.445767,42.690944
висока,251.0,не,,68134.8592.174,,,,,,,,,Ссб,земеделска зона без право на застрояване,Кремиковци,зем. земи кв. Бусманци - Враждебна,само от сателит,23.45,42.699779
висока,249.0,не,,44063.6231.339,,,,,,,,,Ссб,земеделска зона без право на застрояване,Панчарево,"с. Д. Лозен, м. Янино раске",картирана в OSM,23.527092,42.598413
висока,248.0,не,,44063.6235.3568,,,,,,,,,Ссб,земеделска зона без право на застрояване,Панчарево,"с. Д. Лозен, м. Янино раске",картирана в OSM,23.517772,42.595126
висока,247.0,не,,02511.4563.39,,,,,,,,,Гр,рекреационни гори и земи – зелена зона,Нови Искър,Софийска планина (западна Стара планина) 1,само от сателит,23.250678,42.861406
висока,244.0,не,,68134.1976.231,,,,,,,,,Тзв,"терени за зелени връзки и озеленяване на улици, реки и дерета и открити канали",Витоша,кв. Драгалевци,само от сателит,23.31049,42.633415
висока,244.0,не,,68134.4082.6584,,,,,,,,,Тго,терени на локални градини и озеленяване,Младост,Парк Въртопо - север,картирана в OSM,23.371059,42.658515
висока,244.0,не,,07140.8092.1656,,,,,,,,,Тзв,"терени за зелени връзки и озеленяване на улици, реки и дерета и открити канали",Кремиковци,гр. Бухово,картирана в OSM,23.559064,42.755391
висока,243.0,не,,16448.7852.6,,,,,,,,,Тзв,"терени за зелени връзки и озеленяване на улици, реки и дерета и открити канали",Кремиковци,м. Хан Богров - ПЗ,само от сателит,23.529645,42.70148
висока,241.0,не,,68134.1107.367,,,,,,,,,Тзв,"терени за зелени връзки и озеленяване на улици, реки и дерета и открити канали",Красна поляна,ж.к. Красна поляна - част 3,картирана в OSM,23.289488,42.691212
висока,241.0,не,,49206.2600.410,,,,,,,,,Ссб,земеделска зона без право на застрояване,Връбница,с. Мрамор - зем. земи,само от сателит,23.263025,42.800473
висока,239.0,не,,44063.6232.52,,,,,,,,,Тзсп,терени за специални зелени площи,Панчарево,м. Долни Лозен - м. БЧК,картирана в OSM,23.512057,42.599025
висока,238.0,не,,40436.5413.3,,,,,,,,,Ссб,земеделска зона без право на застрояване,Нови Искър,с. Кубратово,само от сателит,23.360757,42.770097
висока,237.0,не,,44063.6232.52,,,,,,,,,Тзсп,терени за специални зелени площи,Панчарево,м. Долни Лозен - м. БЧК,картирана в OSM,23.515271,42.59803
висока,235.0,не,,68134.509.54,,,,,,,,,Тзв,"терени за зелени връзки и озеленяване на улици, реки и дерета и открити канали",Сердика,НПЗ Хаджи Димитър,само от сателит,23.34389,42.71132
висока,235.0,не,,68134.707.1331,,,,,,,,,Тзв,"терени за зелени връзки и озеленяване на улици, реки и дерета и открити канали",Слатина,кв. Христо Ботев,картирана в OSM,23.380075,42.695179
висока,234.0,не,,68134.8384.28,,,,,,,,,Ссб,земеделска зона без право на застрояване,Кремиковци,зем. земи р-н Кремиковци,само от сателит,23.514815,42.744894
висока,233.0,не,,68134.1943.2793,,,,,,,,,Тзв,"терени за зелени връзки и озеленяване на улици, реки и дерета и открити канали",Витоша,Боянски гробища,картирана в OSM,23.278974,42.650256
висока,233.0,не,,02659.2196.2451,,,,,,,,,Тзв,"терени за зелени връзки и озеленяване на улици, реки и дерета и открити канали",Банкя,гр. Банкя - кв. Вердикал,само от сателит,23.136419,42.718947
висока,233.0,не,,04234.6972.215,,,,,,,,,Ссб,земеделска зона без право на застрояване,Панчарево,в.з. Бистрица - разш. изток,само от сателит,23.371445,42.583407
висока,230.0,не,,68134.601.290,,,,,,,,,Тзв,"терени за зелени връзки и озеленяване на улици, реки и дерета и открити канали",Подуяне,ж.к. Левски - зона Г,картирана в OSM,23.381498,42.710869
висока,229.0,не,,68134.1110.2,,,,,,,,,Зп,зона на градски паркове и градини,Красна поляна,Западен парк - разш. Голяма Коньовица,картирана в OSM,23.260721,42.698785
висока,229.0,не,,44224.5787.2,,,,,,,,,Ссб,земеделска зона без право на застрояване,Нови Искър,"зем. земи - с. Подгумер, Войнеговци, Локорско",само от сателит,23.43669,42.787521
висока,228.0,не,,68134.1006.441,,,,,,,,,Тзв,"терени за зелени връзки и озеленяване на улици, реки и дерета и открити канали",Триадица,ж.к. Манастирски ливади - изток,картирана в OSM,23.293696,42.649926
висока,228.0,не,,68134.707.1331,,,,,,,,,Тзв,"терени за зелени връзки и озеленяване на улици, реки и дерета и открити канали",Слатина,кв. Христо Ботев,картирана в OSM,23.379905,42.695512
висока,227.0,не,,41010.4898.59,,,,,,,,,Ссб,земеделска зона без право на застрояване,Нови Искър,Нови Искър - Кътина полето,само от сателит,23.30938,42.840519
висока,227.0,не,,68134.8575.36,,,,,,,,,Зп,зона на градски паркове и градини,Кремиковци,Хидропарк Искър - част Летище север,само от сателит,23.418174,42.701036
висока,226.0,не,,55419.6704.2539,,,,,,,,,Тзв,"терени за зелени връзки и озеленяване на улици, реки и дерета и открити канали",Панчарево,Зона за отдих Панчарево - плажа,картирана в OSM,23.400383,42.606478
висока,225.0,не,,68134.2821.305,,,,,,,,,Тзв,"терени за зелени връзки и озеленяване на улици, реки и дерета и открити канали",Връбница,НПЗ Орион,картирана в OSM,23.282035,42.725443
висока,224.0,не,,68134.521.21,,,,,,,,,Ссб,земеделска зона без право на застрояване,Сердика,кв. Бенковски - разширение,само от сателит,23.348581,42.750214
